Fecha;13/01/2025 10:01;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;589;39,3;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.092;72,8;1.008;67,2;;7,20%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.724;248,3;4.503;300,2;;5,50%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);11;10/01/2025;306;1,9;29;1,9;682;11,4;145;9,7;177;11,8;20,00%;5,50%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3;0,2;;;;0,00%
400231;Pepito;MEC;160,18779;0;0;(en blanco);30;16/01/2025;324;9,5;142;9,5;1.141;19;201;13,4;235;15,7;70,60%;5,70%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;352;5,9;;;320;21,3;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);12;16/01/2025;452;24,3;365;24,3;3.055;50,9;679;45,3;518;34,5;53,80%;8,70%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;256;4,3;;;224;14,9;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);490;10/01/2025;651;4,9;74;4,9;958;16;325;21,7;275;18,3;22,80%;7,90%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);140;16/01/2025;292;;;;85;1,4;2;0,1;364;24,3;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;96;1,6;;;288;19,2;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;0;0;(en blanco);15;(en blanco);(en blanco);1,5;22;1,5;1.863;31,1;148;9,9;445;29,7;14,90%;2,20%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);326;16/01/2025;744;19;285;19;5.115;85,3;1.696;113,1;1.639;109,3;16,80%;6,90%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;62;4,1;374;24,9;;1,10%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;-2;-0,1;;;;0,00%
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);33;16/01/2025;487;16,5;247;16,5;3.334;55,6;1.441;96,1;1.884;125,6;17,10%;5,10%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);58;15/01/2025;423;2;30;2;877;14,6;402;26,8;642;42,8;7,50%;4,20%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);;;;65;1,1;;;96;6,4;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,2;3;0,2;25;0,4;2;0,1;1;0,1;150,00%;13,30%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;6;0,4;4;0,3;;10,00%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);27;10/01/2025;242;0,1;1;0,1;713;11,9;483;32,2;698;46,5;0,20%;4,60%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);63;15/01/2025;453;6;90;6;2.278;38;603;40,2;688;45,9;14,90%;5,80%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);28;15/01/2025;431;8,3;125;8,3;1.571;26,2;445;29,7;406;27,1;28,10%;7,30%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);0,1;1;0,1;83;1,4;10;0,7;60;4;10,00%;1,10%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;84;5,6;119;7,9;;4,70%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);1;(en blanco);(en blanco);0,3;4;0,3;237;4;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;115;7,7;75;5;;10,20%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);0;(en blanco);(en blanco);;;;952;15,9;;;;;;
421802;Bollo Ecológico Easy;MEC;163,20404;0;0;(en blanco);0;10/01/2025;30;;;;686;11,4;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;0;0;(en blanco);0;(en blanco);(en blanco);;;;383;6,4;;;;;;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;0;0;(en blanco);9;11/01/2025;317;4,7;70;4,7;786;13,1;;;;;0,00%;
423301;Mollete Pack 4 UDS;MEC;167,3356;0;0;(en blanco);0;(en blanco);(en blanco);1,9;28;1,9;140;2,3;3;0,2;179;11,9;933,30%;0,10%
423321;Mollete;MEC;155,66037;0;0;(en blanco);14;11/01/2025;637;14,7;221;14,7;2.046;34,1;77;5,1;498;33,2;287,00%;1,00%
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;192,76761;0;0;(en blanco);36;(en blanco);(en blanco);;;;75;1,3;;;;;;
425351;Payesito Mondat;MEC;192,67272;0;0;(en blanco);5;11/01/2025;401;1,4;21;1,4;248;4,1;32;2,1;18;1,2;65,60%;11,90%
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;0;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;;;;;;
430301;Panecillo Semillas Easy;VIME;127,17655;0;0;(en blanco);0;(en blanco);(en blanco);;;;2;0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;0;0;(en blanco);0;13/01/2025;411;37,7;566;37,7;4.011;66,9;24;1,6;474;31,6;2358,30%;0,30%
430621;Pepito Easy;MEC;166,2776;0;0;(en blanco);647;14/01/2025;2020;1,2;18;1,2;9.130;152,2;2.003;133,5;2.776;185,1;0,90%;4,80%
430702;Panecito Ecológico Easy;MEC;158,42696;0;0;(en blanco);371;14/01/2025;639;0,1;2;0,1;4.272;71,2;1.672;111,5;3.257;217,1;0,10%;3,40%
430731;Panecito Easy;MEC;158,31932;0;0;(en blanco);826;15/01/2025;980;7,7;115;7,7;10.582;176,4;1.399;93,3;2.150;143,3;8,20%;4,30%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;0;0;(en blanco);120;13/01/2025;273;4,5;68;4,5;749;12,5;94;6,3;248;16,5;72,30%;2,50%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;0;0;(en blanco);0;14/01/2025;514;2,1;31;2,1;1.701;28,4;481;32,1;390;26;6,40%;8,20%
432211;Pepito con Salvado Easy;MEC;166,21578;0;0;(en blanco);240;15/01/2025;353;5,1;76;5,1;2.378;39,6;437;29,1;1.089;72,6;17,40%;2,70%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;0;0;(en blanco);0;(en blanco);(en blanco);1,5;23;1,5;671;11,2;241;16,1;220;14,7;9,50%;7,30%
432421;Bollo Easy;MEC;149,60847;0;0;(en blanco);48;14/01/2025;311;12,8;192;12,8;1.446;24,1;363;24,2;747;49,8;52,90%;3,20%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;(en blanco);(en blanco);;;;101;1,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;0;0;(en blanco);7;14/01/2025;515;10,9;163;10,9;2.530;42,2;288;19,2;454;30,3;56,60%;4,20%
432911;Panecito con Salvado Easy;MEC;158,39643;0;0;(en blanco);5;15/01/2025;334;7,7;116;7,7;2.904;48,4;435;29;699;46,6;26,70%;4,10%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;0;0;(en blanco);0;(en blanco);(en blanco);0,3;4;0,3;362;6;49;3,3;96;6,4;8,20%;3,40%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;0;0;(en blanco);0;(en blanco);(en blanco);5,6;84;5,6;1.001;16,7;330;22;320;21,3;25,50%;6,90%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;0;0;392;0;15/01/2025;321;;;;437;7,3;168;11,2;;;;0,00%
434201;Viena Easy;MEC;185,45964;0;0;(en blanco);8;15/01/2025;572;17;255;17;3.394;56,6;428;28,5;658;43,9;59,60%;4,30%
434721;Bollito Easy;VIME;134,85559;0;0;(en blanco);303;13/01/2025;411;15,5;233;15,5;2.736;45,6;520;34,7;838;55,9;44,80%;4,10%
435711;Rombito Integral 100%;VIME;122,40097;0;0;(en blanco);0;(en blanco);(en blanco);1,7;25;1,7;200;3,3;;;;;0,00%;
436011;Rombito Rústico;VIME;133,84615;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;8;0,5;;
436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;0;0;(en blanco);0;(en blanco);(en blanco);0,1;1;0,1;39;0,7;;;;;0,00%;
438801;Panecillo con Semillas;VIME;138,83391;0;0;140;8;(en blanco);(en blanco);2,9;44;2,9;382;6,4;59;3,9;19;1,3;74,60%;20,70%
453211;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.816;321,1;2.268;151,2;;14,20%
453221;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;2.744;182,9;6.356;423,7;;2,90%
453223;Panecillo 100% Integral;VIME;102,00064;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;252;16,8;;
453233;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);;;;1;0;;;;;;
453241;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);3,7;56;3,7;438;7,3;;;;;0,00%;
453243;Panecillo 100% Integral;VIME;123,95874;0;0;525;560;(en blanco);(en blanco);11,6;174;11,6;1.150;19,2;;;;;0,00%;
453251;Panecillo 100% Integral;VIME;118,69587;0;0;224;1148;13/01/2025;1902;39,2;588;39,2;22.652;377,5;;;;;0,00%;
454001;Panecillo 100% Integral;VIME;98,9047;0;0;(en blanco);0;(en blanco);(en blanco);;;;155;2,6;3;0,2;7;0,5;;2,90%
5718540;Panecillo con  Semillas;VIME;138,85714;0;0;616;392;11/01/2025;2836;54,1;812;54,1;16.857;281;1.992;132,8;2.833;188,9;40,80%;4,70%
5718619;Pulguita;MEC;160,291;0;0;1428;1344;09/01/2025;3125;3,7;56;3,7;10.864;181,1;4.007;267,1;3.366;224,4;1,40%;7,90%
5720811;Baguetina Cereales;VIME;107,09612;0;0;700;112;11/01/2025;2235;48,5;728;48,5;14.141;235,7;;;;;0,00%;
604301;Pepito Easy Pack 5 uds;MEC;166,21437;0;0;(en blanco);10;(en blanco);(en blanco);0,7;11;0,7;196;3,3;;;;;0,00%;
Total general;;;;;;;;;;413,3;6199;413,3;144.116;2.401,90;34.333;2.288,90;45.852;3.056,80;18,10%;5,00%
