Fecha;14/01/2025 16:34:43;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;589;39,3;;0,0 %
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.064;70,9;1.176;78,4;;6,0 %
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.724;248,3;5.287;352,5;;4,7 %
400121;Miniatura;MEC;196,35136;0;0;(en blanco);6;(en blanco);(en blanco);1,9;29;1,9;666;11,1;143;9,5;178;11,9;20,3 %;5,4 %
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3;0,2;;;;0,0 %
400231;Pepito;MEC;160,18779;0;0;(en blanco);0;16/01/2025;296;9,5;142;9,5;1.131;18,9;201;13,4;278;18,5;70,6 %;4,8 %
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;352;5,9;;;320;21,3;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);3;16/01/2025;452;24,3;365;24,3;3.051;50,9;678;45,2;550;36,7;53,8 %;8,2 %
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;256;4,3;;;224;14,9;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);457;(en blanco);(en blanco);4,9;74;4,9;906;15,1;297;19,8;303;20,2;24,9 %;6,5 %
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);140;16/01/2025;292;;;;85;1,4;2;0,1;364;24,3;;0,0 %
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;96;1,6;;;288;19,2;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,0 %
401881;Bollo;MEC;205,58375;0;0;(en blanco);6;(en blanco);(en blanco);1,5;22;1,5;1.849;30,8;135;9,0;467;31,1;16,3 %;1,9 %
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);238;16/01/2025;744;19,0;285;19,0;5.046;84,1;1.602;106,8;1.740;116,0;17,8 %;6,1 %
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);;;;420;7,0;56;3,7;379;25,3;;1,0 %
