Fecha;02/01/2025 10:53;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;03/01/2025 16:00;03/12/2024 17:02;05/12/2024 15:09;07/01/2025 10:25;08/01/2025 13:09;09/01/2025 15:40;10/12/2024 10:27;11/12/2024 10:14;12/12/2024 11:01;13/01/2025 10:01;14/01/2025 16:34:43;16/12/2024 14:06;17/12/2024 13:04;18/12/2024 14:55;19/12/2024 12:08;20/12/2024 17:02;23/12/2024 11:02;24/12/2024 12:04;26/12/2024 8:59;27/12/2024 9:55;30/12/2024 14:53;31/12/2024 9:39;HORAS_PRODUCCION;CANTIDADES_PRODUCCION
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.137;209,1;1;0,1;;20913,30%;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.288;85,9;1.400;93,3;;6,10%;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.605;307;4.844;322,9;;6,30%;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
400121;Miniatura;MEC;196,35136;0;0;(en blanco);3;(en blanco);(en blanco);6,7;100;6,7;945;15,8;93;6,2;212;14,1;107,50%;2,90%;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;3;0,2;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
400231;Pepito;MEC;160,18779;0;0;(en blanco);4;02/01/2025;290;27,2;408;27,2;1.471;24,5;324;21,6;259;17,3;125,90%;8,30%;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
