COD_ART;NOMBRE;Cj/H;Disponible;Calidad;Stock Externo;M_Vta -15;M_Vta -15 AA;H;CJ;Cob;Línea;DIA;STOCK_TOTAL;DIAS_COBERTURA;DEMANDA_PREDICHA;CAJAS_PRODUCIR;HORAS_PRODUCCION
274756;PAN PEPITO;1;161;0;0;0;0;;;;;;161;161;9.715489688934589e-14;0.0;0.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;1;206;0;0;0;0;;;;;;206;206;9.849213512427743e-14;0.0;0.0
400121;Miniatura;1;197;0;0;0;3;;;;;;197;197;9.766671387836724e-14;0.0;0.0
400221;Pepito;1;155;0;0;0;0;;;;;;155;155;9.697659845802168e-14;0.0;0.0
400231;Pepito;1;161;0;0;0;5;;;;;;161;161;9.622494089113941e-14;0.0;0.0
400233;Pepito;1;161;0;0;0;352;;;;;;161;161;3.168599461560942e-14;0.0;0.0
401111;Bocata;1;225;0;0;0;4;;;;;;225;225;9.831278202490557e-14;0.0;0.0
401113;Bocata;1;225;0;0;0;252;;;;;;225;225;5.218696451386396e-14;0.0;0.0
401301;Baguette Plus;1;161;0;0;0;20;;;;;;161;161;9.343507289651995e-14;0.0;0.0
401421;Barra Castellana;1;138;0;0;0;0;;;;;;138;138;9.647141956926977e-14;0.0;0.0
401423;Barra Castellana;1;121;0;0;0;96;;;;;;121;121;7.811108551495336e-14;0.0;0.0
401621;Media Baguette;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
401881;Bollo;1;206;0;0;0;7;;;;;;206;206;9.719019672678836e-14;0.0;0.0
402011;Viena Mondat 145 gr;1;247;0;0;0;655;;;;;;247;247;0.0;0.0;0.0
402801;Viena;1;225;0;0;0;0;;;;;;225;225;9.905674682347076e-14;0.0;0.0
403321;Barra de Viena;1;197;0;0;0;0;;;;;;197;197;9.822468747729112e-14;0.0;0.0
403341;Barra de Viena;1;243;0;0;0;7;;;;;;243;243;9.82897037199543e-14;0.0;0.0
403801;Mini Viena Andaluza;1;206;0;0;0;28;;;;;;206;206;9.328438153432112e-14;0.0;0.0
404903;Viena 170g;1;187;0;0;0;128;;;;;;187;187;7.412064987099813e-14;0.0;0.0
405121;Miniatura con Salvado;1;197;0;0;0;0;;;;;;197;197;9.822468747729112e-14;0.0;0.0
405621;Media Baguette con Salvado;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
406002;Panecito Integral 100% Ecológico Easy;1;137;0;0;0;20;;;;;;137;137;9.272187917122313e-14;0.0;0.0
406301;Viena Mondat con Salvado 145 gr;1;225;0;0;0;72;;;;;;225;225;8.566538044929738e-14;0.0;0.0
406401;Viena con Salvado Pequeña;1;206;0;0;0;12;;;;;;206;206;9.626024072858188e-14;0.0;0.0
406501;Bollo 100 % Integral;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
407401;Bollo Rústico Semillado;1;131;0;0;0;0;;;;;;131;131;9.626340473272486e-14;0.0;0.0
407411;Bollo Rústico Semillado;1;131;0;0;0;0;;;;;;131;131;9.626340473272486e-14;0.0;0.0
411001;Chapata Mini;1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
421702;Barra de Viena Ecológica Easy;1;181;0;0;0;0;;;;;;181;181;9.774922499375992e-14;0.0;0.0
421802;Bollo Ecológico Easy;1;164;0;0;0;0;;;;;;164;164;9.724404610500799e-14;0.0;0.0
422002;Barra de Viena 15%  Integral  Ecológico Easy;1;180;0;0;0;0;;;;;;180;180;9.771950858853921e-14;0.0;0.0
423111;Panecillo con Cereales y Semillas;1;156;0;0;0;90;;;;;;156;156;8.026710689552568e-14;0.0;0.0
423301;Mollete Pack 4 UDS;1;168;0;0;0;0;;;;;;168;168;9.73629117258908e-14;0.0;0.0
423321;Mollete;1;156;0;0;0;463;;;;;;156;156;1.0892389429321982e-14;0.0;0.0
425351;Payesito Mondat;1;193;0;0;0;14;;;;;;193;193;9.550194506143017e-14;0.0;0.0
430101;Pan Bocadillo Sin Sal Añadida Easy;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
430301;Panecillo Semillas Easy;1;128;0;0;0;0;;;;;;128;128;9.617425551706276e-14;0.0;0.0
430401;Mini Panecillo Easy;1;135;0;0;0;1122;;;;;;135;135;0.0;0.0;0.0
430621;Pepito Easy;1;167;0;0;0;792;;;;;;167;167;0.0;0.0;0.0
430702;Panecito Ecológico Easy;1;159;0;0;0;218;;;;;;159;159;5.654938255710179e-14;0.0;0.0
430731;Panecito Easy;1;159;0;0;0;79;;;;;;159;159;8.240215930724204e-14;0.0;0.0
431610;Bollito 100% Integral Easy Pack 8 unidades;1;137;0;0;0;28;;;;;;137;137;9.123394957409275e-14;0.0;0.0
432111;Pepito Sin Sal Añadida Easy;1;167;0;0;0;0;;;;;;167;167;9.73331953206701e-14;0.0;0.0
432211;Pepito con Salvado Easy;1;167;0;0;0;8;;;;;;167;167;9.584526572353972e-14;0.0;0.0
432311;Pepito con Salvado Sin Sal Añadida Easy;1;167;0;0;56;0;;;;;;167;45;56.000000000000014;2.0;2.0
432421;Bollo Easy;1;150;0;0;0;4;;;;;;150;150;9.6084051633353e-14;0.0;0.0
