COD_ART;NOMBRE;Cj/H;Disponible;Calidad;Stock Externo;M_Vta -15;M_Vta -15 AA;H;CJ;Cob;Línea;DIA;STOCK_TOTAL;DIAS_COBERTURA;DEMANDA_PREDICHA;CAJAS_PRODUCIR;HORAS_PRODUCCION
274756;PAN PEPITO;1.0;160.28813;0.0;0.0;0.0;0.0;;;;;;160.28813;160.28813;9.566379459360202e-14;0.0;0.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;1.0;205.7429;0.0;0.0;0.0;0.0;;;;;;205.7429;205.7429;9.659769667849394e-14;0.0;0.0
400121;Miniatura;1.0;196.35136;0.0;0.0;0.0;3.0;;;;;;196.35136;196.35136;9.606688128353636e-14;0.0;0.0
400221;Pepito;1.0;154.64788;0.0;0.0;0.0;0.0;;;;;;154.64788;154.64788;9.554791145890985e-14;0.0;0.0
400231;Pepito;1.0;160.18779;0.0;0.0;0.0;5.0;;;;;;160.18779;160.18779;9.509863434217595e-14;0.0;0.0
400233;Pepito;1.0;160.28813;0.0;0.0;0.0;352.0;;;;;;160.28813;160.28813;5.6021646716520907e-14;0.0;0.0
401111;Bocata;1.0;224.45714;0.0;0.0;0.0;4.0;;;;;;224.45714;224.45714;9.653171571649489e-14;0.0;0.0
401113;Bocata;1.0;224.45714;0.0;0.0;0.0;252.0;;;;;;224.45714;224.45714;6.860202062127866e-14;0.0;0.0
401301;Baguette Plus;1.0;160.34482;0.0;0.0;0.0;20.0;;;;;;160.34482;160.34482;9.34125645661072e-14;0.0;0.0
401421;Barra Castellana;1.0;137.06227;0.0;0.0;0.0;0.0;;;;;;137.06227;137.06227;9.51866020112304e-14;0.0;0.0
401423;Barra Castellana;1.0;120.91656;0.0;0.0;0.0;96.0;;;;;;120.91656;120.91656;8.404338150530411e-14;0.0;0.0
401621;Media Baguette;1.0;138.09751;0.0;0.0;0.0;0.0;;;;;;138.09751;138.09751;9.520787178763371e-14;0.0;0.0
401881;Bollo;1.0;205.58375;0.0;0.0;0.0;7.0;;;;;;205.58375;205.58375;9.580608865526705e-14;0.0;0.0
402011;Viena Mondat 145 gr;1.0;246.74846;0.0;0.0;0.0;655.0;;;;;;246.74846;246.74846;2.367425785397881e-14;0.0;0.0
402801;Viena;1.0;224.44444;0.0;0.0;0.0;0.0;;;;;;224.44444;224.44444;9.698193373869003e-14;0.0;0.0
403321;Barra de Viena;1.0;196.69172;0.0;0.0;0.0;0.0;;;;;;196.69172;196.69172;9.641173344795219e-14;0.0;0.0
403341;Barra de Viena;1.0;242.1118;0.0;0.0;0.0;7.0;;;;;;242.1118;242.1118;9.655658463296171e-14;0.0;0.0
403801;Mini Viena Andaluza;1.0;205.70099;0.0;0.0;0.0;28.0;;;;;;205.70099;205.70099;9.344348293430677e-14;0.0;0.0
404903;Viena 170g;1.0;186.988;0.0;0.0;0.0;128.0;;;;;;186.988;186.988;8.17970367966214e-14;0.0;0.0
405121;Miniatura con Salvado;1.0;196.35943;0.0;0.0;0.0;0.0;;;;;;196.35943;196.35943;9.640490630255493e-14;0.0;0.0
405621;Media Baguette con Salvado;1.0;138.09507;0.0;0.0;0.0;0.0;;;;;;138.09507;138.09507;9.520782165601744e-14;0.0;0.0
406002;Panecito Integral 100% Ecológico Easy;1.0;136.80039;0.0;0.0;0.0;20.0;;;;;;136.80039;136.80039;9.292882672595111e-14;0.0;0.0
406301;Viena Mondat con Salvado 145 gr;1.0;224.3976;0.0;0.0;0.0;72.0;;;;;;224.3976;224.3976;8.887235021934797e-14;0.0;0.0
406401;Viena con Salvado Pequeña;1.0;205.7429;0.0;0.0;0.0;12.0;;;;;;205.7429;205.7429;9.524625981904798e-14;0.0;0.0
406501;Bollo 100 % Integral;1.0;187.00422;0.0;0.0;0.0;0.0;;;;;;187.00422;187.00422;9.621269654935187e-14;0.0;0.0
407401;Bollo Rústico Semillado;1.0;130.89849;0.0;0.0;0.0;0.0;;;;;;130.89849;130.89849;9.505996256298734e-14;0.0;0.0
407411;Bollo Rústico Semillado;1.0;130.89596;0.0;0.0;0.0;0.0;;;;;;130.89596;130.89596;9.505991058225409e-14;0.0;0.0
411001;Chapata Mini;1.0;134.71253;0.0;0.0;0.0;0.0;;;;;;134.71253;134.71253;9.513832485385057e-14;0.0;0.0
421702;Barra de Viena Ecológica Easy;1.0;180.00603;0.0;0.0;0.0;0.0;;;;;;180.00603;180.00603;9.606891352654768e-14;0.0;0.0
421802;Bollo Ecológico Easy;1.0;163.20404;0.0;0.0;0.0;0.0;;;;;;163.20404;163.20404;9.572370413507274e-14;0.0;0.0
422002;Barra de Viena 15%  Integral  Ecológico Easy;1.0;179.99915;0.0;0.0;0.0;0.0;;;;;;179.99915;179.99915;9.60687721718264e-14;0.0;0.0
423111;Panecillo con Cereales y Semillas;1.0;155.78171;0.0;0.0;0.0;90.0;;;;;;155.78171;155.78171;8.543543039440615e-14;0.0;0.0
423301;Mollete Pack 4 UDS;1.0;167.3356;0.0;0.0;0.0;0.0;;;;;;167.3356;167.3356;9.580859011068886e-14;0.0;0.0
423321;Mollete;1.0;155.66037;0.0;0.0;0.0;463.0;;;;;;155.66037;155.66037;4.3425774992672575e-14;0.0;0.0
425351;Payesito Mondat;1.0;192.67272;0.0;0.0;0.0;14.0;;;;;;192.67272;192.67272;9.475248376530228e-14;0.0;0.0
430101;Pan Bocadillo Sin Sal Añadida Easy;1.0;187.00569;0.0;0.0;0.0;0.0;;;;;;187.00569;187.00569;9.62127267515961e-14;0.0;0.0
430301;Panecillo Semillas Easy;1.0;127.17655;0.0;0.0;0.0;0.0;;;;;;127.17655;127.17655;9.498349253518075e-14;0.0;0.0
430401;Mini Panecillo Easy;1.0;134.85559;0.0;0.0;0.0;1122.0;;;;;;134.85559;134.85559;0.0;0.0;0.0
430621;Pepito Easy;1.0;166.2776;0.0;0.0;0.0;792.0;;;;;;166.2776;166.2776;6.592019989711161e-15;0.0;0.0
430702;Panecito Ecológico Easy;1.0;158.42696;0.0;0.0;0.0;218.0;;;;;;158.42696;158.42696;7.107445252394848e-14;0.0;0.0
430731;Panecito Easy;1.0;158.31932;0.0;0.0;0.0;79.0;;;;;;158.31932;158.31932;8.672638460193987e-14;0.0;0.0
431610;Bollito 100% Integral Easy Pack 8 unidades;1.0;136.00086;0.0;0.0;0.0;28.0;;;;;;136.00086;136.00086;9.201144188065635e-14;0.0;0.0
